production_day,station_id,station_name,downtime_minutes,downtime_type,z_score
2025-11-17,2,HDR-MLD-L01-01,26.98,Preventive Maintenance,-0.3231174778792521
2025-11-17,9,SFX-PLM-PROG-01,34.72,Trial & Pilot Run,-0.012137613548408388
2025-11-17,1,SF-SPI-L01-01,7.02,No Production & Break,-1.1250758877040121
2025-11-17,5,FRA-PP-L01-02,31.58,Part Shortage,-0.13829740347074038
2025-11-17,6,FRA-PP-L01-03,34.72,Part Shortage,-0.012137613548408388
2025-11-17,8,FRA-AOI-L01-01,13.77,Part Shortage,-0.8538725176480436
2025-11-17,4,FRA-PP-L01-01,24.38,Part Shortage,-0.42758099819710665
2025-11-17,6,FRA-PP-L01-03,10.38,Inventory Check,-0.9900768768317076
2025-11-17,9,SFX-PLM-PROG-01,20.27,Breakdown,-0.5927137168534075
2025-11-17,8,FRA-AOI-L01-01,12.53,Cleaning,-0.9036935811842511
2025-11-17,2,HDR-MLD-L01-01,17.83,Breakdown,-0.6907487128440094
2025-11-17,1,SF-SPI-L01-01,9.92,Part Shortage,-1.0085588842725588
2025-11-17,6,FRA-PP-L01-03,24.92,Material Check,-0.4058847285926291
2025-11-17,8,FRA-AOI-L01-01,95.55,Breakdown,2.4319069791189336
2025-11-17,1,SF-SPI-L01-01,41.9,Cleaning,0.2763424156370513
2025-11-17,6,FRA-PP-L01-03,94.18,Breakdown,2.3768627395668336
2025-11-17,5,FRA-PP-L01-02,22.38,Material Check,-0.5079375522877639
2025-11-17,1,SF-SPI-L01-01,43.03,Setup,0.3217438686982728
2025-11-17,2,HDR-MLD-L01-01,22.18,Meeting,-0.5159732076968296
2025-11-17,7,FRA-OVE-L01-01,24.98,Cleaning,-0.40347403196990944
2025-11-17,9,SFX-PLM-PROG-01,20.12,Meeting,-0.5987404584102066
2025-11-17,10,SFX-PLM-ASSY-01,22.55,Preventive Maintenance,-0.501107245190058
2025-11-17,4,FRA-PP-L01-01,59.17,Breakdown,0.9702212602098773
2025-11-17,10,SFX-PLM-ASSY-01,30.1,Breakdown,-0.19776125349782667
2025-11-17,9,SFX-PLM-PROG-01,29.4,Fire Drills,-0.22588604742955684
2025-11-17,10,SFX-PLM-ASSY-01,25.8,Part Shortage,-0.3705278447927399
2025-11-17,3,HDR-MLD-L01-02,88.33,Breakdown,2.1418198188516606
2025-11-17,9,SFX-PLM-PROG-01,25.18,Cleaning,-0.3954383765608437
2025-11-17,5,FRA-PP-L01-02,17.22,Breakdown,-0.7152574618416598
2025-11-17,4,FRA-PP-L01-01,19.93,Material Check,-0.6063743310488191
2025-11-18,6,FRA-PP-L01-03,2.93,Breakdown,-1.2894050408194062
2025-11-18,4,FRA-PP-L01-01,34.02,Setup,-0.040262407480138276
2025-11-18,7,FRA-OVE-L01-01,11.93,No Production & Break,-0.9278005474114484
2025-11-18,7,FRA-OVE-L01-01,29.12,Setup,-0.23713596500224876
2025-11-18,4,FRA-PP-L01-01,29.22,Part Shortage,-0.233118137297716
2025-11-18,5,FRA-PP-L01-02,6.65,Trial & Pilot Run,-1.1399418502107836
2025-11-18,3,HDR-MLD-L01-02,107.32,Part Shortage,2.904805299942452
2025-11-18,6,FRA-PP-L01-03,30.05,Inventory Check,-0.19977016735009312
2025-11-18,3,HDR-MLD-L01-02,11.78,Inventory Check,-0.9338272889682476
2025-11-18,10,SFX-PLM-ASSY-01,66.05,Part Shortage,1.2466478062817383
2025-11-18,9,SFX-PLM-PROG-01,38.65,Breakdown,0.1457630152397332
2025-11-18,1,SF-SPI-L01-01,2.87,Breakdown,-1.291815737442126
2025-11-18,3,HDR-MLD-L01-02,36.97,Calibration,0.07826350980358109
2025-11-18,2,HDR-MLD-L01-01,28.82,Material Check,-0.2491894481158474
2025-11-18,5,FRA-PP-L01-02,81.47,Part Shortage,1.8661968383207062
2025-11-18,5,FRA-PP-L01-02,18.17,Breakdown,-0.6770880986485975
2025-11-18,7,FRA-OVE-L01-01,61.8,Breakdown,1.0758901288390914
2025-11-18,10,SFX-PLM-ASSY-01,21.1,No Production & Break,-0.5593657469057846
2025-11-18,9,SFX-PLM-PROG-01,20.93,Trial & Pilot Run,-0.5661960540034905
2025-11-18,7,FRA-OVE-L01-01,12.55,Fire Drills,-0.9028900156433446
2025-11-18,1,SF-SPI-L01-01,106.75,Part Shortage,2.8819036820266146
2025-11-18,7,FRA-OVE-L01-01,38.02,Trial & Pilot Run,0.12045070070117635
2025-11-18,10,SFX-PLM-ASSY-01,49.22,Breakdown,0.570447403608857
2025-11-19,4,FRA-PP-L01-01,43.97,Inventory Check,0.3595114491208817
2025-11-19,4,FRA-PP-L01-01,41.72,Breakdown,0.2691103257688922
2025-11-19,3,HDR-MLD-L01-02,89.6,Part Shortage,2.192846230699228
2025-11-19,5,FRA-PP-L01-02,39.85,Part Shortage,0.1939769476941277
2025-11-19,8,FRA-AOI-L01-01,90.25,Breakdown,2.218962110778692
2025-11-19,2,HDR-MLD-L01-01,49.43,Breakdown,0.5788848417883762
2025-11-19,10,SFX-PLM-ASSY-01,55.45,Breakdown,0.8207580696012547
2025-11-19,8,FRA-AOI-L01-01,14.62,Cleaning,-0.8197209821595144
2025-11-19,9,SFX-PLM-PROG-01,39.55,Calibration,0.18192346458052894
2025-11-19,10,SFX-PLM-ASSY-01,5.18,Setup,-1.1990039174674167
2025-11-19,9,SFX-PLM-PROG-01,21.43,Breakdown,-0.5461069154808261
2025-11-19,3,HDR-MLD-L01-02,28.03,Preventive Maintenance,-0.280930286981657
2025-11-19,5,FRA-PP-L01-02,22.87,Meeting,-0.48825019653555285
2025-11-19,4,FRA-PP-L01-01,16.18,Cleaning,-0.7570428699688015
2025-11-19,3,HDR-MLD-L01-02,28.95,Fire Drills,-0.2439662720999547
2025-11-19,7,FRA-OVE-L01-01,15.18,Inventory Check,-0.7972211470141303
2025-11-19,5,FRA-PP-L01-02,43.35,Breakdown,0.33460091735277797
2025-11-19,8,FRA-AOI-L01-01,16.47,Meeting,-0.7453911696256563
2025-11-19,7,FRA-OVE-L01-01,21.83,Meeting,-0.5300356046626947
2025-11-19,5,FRA-PP-L01-02,17.72,Trial & Pilot Run,-0.6951683233189955
2025-11-19,6,FRA-PP-L01-03,13.78,Preventive Maintenance,-0.8534707348775903
2025-11-19,2,HDR-MLD-L01-01,28.47,Part Shortage,-0.26325184508171245
2025-11-19,8,FRA-AOI-L01-01,55.25,Part Shortage,0.8127224141921889
2025-11-20,9,SFX-PLM-PROG-01,32.07,Part Shortage,-0.11861004771852926
2025-11-20,5,FRA-PP-L01-02,47.23,Meeting,0.490492632288653
2025-11-20,9,SFX-PLM-PROG-01,12.9,Material Check,-0.8888276186774796
2025-11-20,1,SF-SPI-L01-01,117.55,Part Shortage,3.315829074116164
2025-11-20,6,FRA-PP-L01-03,101.68,Part Shortage,2.6781998174067985
2025-11-20,5,FRA-PP-L01-02,63.53,Breakdown,1.1453985481275102
2025-11-20,9,SFX-PLM-PROG-01,35.65,Cleaning,0.025228184103747248
2025-11-20,2,HDR-MLD-L01-01,14.1,Material Check,-0.8406136862230851
2025-11-20,4,FRA-PP-L01-01,52.47,Meeting,0.7010268040061752
2025-11-20,10,SFX-PLM-ASSY-01,46.28,Part Shortage,0.45232326909559095
2025-11-20,4,FRA-PP-L01-01,49.15,Part Shortage,0.5676349242156841
2025-11-20,1,SF-SPI-L01-01,7.6,Material Check,-1.1017724870177215
2025-11-20,2,HDR-MLD-L01-01,35.05,Inventory Check,0.0011212178765499987
2025-11-20,3,HDR-MLD-L01-02,37.47,Fire Drills,0.0983526483262454
2025-11-20,8,FRA-AOI-L01-01,25.3,Fire Drills,-0.39061698331540423
2025-11-20,7,FRA-OVE-L01-01,15.92,Setup,-0.767489222000587
2025-11-20,3,HDR-MLD-L01-02,18.13,Preventive Maintenance,-0.6786952297304107
2025-11-20,6,FRA-PP-L01-03,12.25,Breakdown,-0.9149434987569431
2025-11-20,1,SF-SPI-L01-01,2.27,Breakdown,-1.315922703669323
2025-11-20,9,SFX-PLM-PROG-01,6.0,Inventory Check,-1.1660577302902473
2025-11-20,10,SFX-PLM-ASSY-01,62.1,Breakdown,1.0879436119526902
2025-11-20,4,FRA-PP-L01-01,14.3,Preventive Maintenance,-0.8325780308140194
2025-11-20,9,SFX-PLM-PROG-01,15.78,Trial & Pilot Run,-0.773114180786933
2025-11-20,6,FRA-PP-L01-03,33.73,Fire Drills,-0.05191410782328384
2025-11-20,2,HDR-MLD-L01-01,14.22,Part Shortage,-0.8357922929776458
2025-11-20,2,HDR-MLD-L01-01,31.15,Fire Drills,-0.15557406260023168
2025-11-20,3,HDR-MLD-L01-02,71.32,Breakdown,1.4583873263106202
2025-11-20,4,FRA-PP-L01-01,51.63,Breakdown,0.6672770512880993
2025-11-20,2,HDR-MLD-L01-01,16.57,Cleaning,-0.7413733419211234
2025-11-20,2,HDR-MLD-L01-01,132.13,Breakdown,3.9016283534370557
2025-11-20,8,FRA-AOI-L01-01,83.75,Breakdown,1.9578033099840555
2025-11-20,7,FRA-OVE-L01-01,85.42,Part Shortage,2.0249010326497543
2025-11-21,3,HDR-MLD-L01-02,27.8,Preventive Maintenance,-0.2901712907020826
2025-11-21,5,FRA-PP-L01-02,55.93,Part Shortage,0.8400436425830123
2025-11-21,3,HDR-MLD-L01-02,39.15,Calibration,0.16585215376239754
2025-11-21,10,SFX-PLM-ASSY-01,59.42,Breakdown,0.9802658294712094
2025-11-21,1,SF-SPI-L01-01,38.9,Part Shortage,0.15580758450106538
2025-11-21,1,SF-SPI-L01-01,12.1,Material Check,-0.9209702403137424
2025-11-21,5,FRA-PP-L01-02,11.22,Calibration,-0.9563271241136317
2025-11-21,3,HDR-MLD-L01-02,11.1,Inventory Check,-0.9611485173590711
2025-11-21,9,SFX-PLM-PROG-01,31.08,Fire Drills,-0.1583865419934047
2025-11-21,8,FRA-AOI-L01-01,35.2,Fire Drills,0.007147959433349525
2025-11-21,8,FRA-AOI-L01-01,6.72,Part Shortage,-1.1371293708176107
2025-11-21,10,SFX-PLM-ASSY-01,17.15,Calibration,-0.7180699412348328
2025-11-21,6,FRA-PP-L01-03,37.78,Calibration,0.11080791421029738
2025-11-21,5,FRA-PP-L01-02,59.27,Breakdown,0.9742390879144103
2025-11-21,8,FRA-AOI-L01-01,59.82,Breakdown,0.9963371402893408
2025-11-21,4,FRA-PP-L01-01,13.83,Cleaning,-0.851461821025324
2025-11-24,4,FRA-PP-L01-01,26.63,No Production & Break,-0.3371798748451172
2025-11-24,2,HDR-MLD-L01-01,12.65,Meeting,-0.8988721879388117
2025-11-24,1,SF-SPI-L01-01,46.97,Cleaning,0.48004628025686763
2025-11-24,4,FRA-PP-L01-01,10.75,Trial & Pilot Run,-0.9752109143249362
2025-11-24,1,SF-SPI-L01-01,34.3,Material Check,-0.029012489907446492
2025-11-24,6,FRA-PP-L01-03,25.27,Meeting,-0.39182233162676416
2025-11-24,5,FRA-PP-L01-02,16.35,Setup,-0.7502125628710956
2025-11-24,7,FRA-OVE-L01-01,36.87,Part Shortage,0.07424568209904817
2025-11-24,6,FRA-PP-L01-03,42.67,Calibration,0.3072796889619545
2025-11-24,2,HDR-MLD-L01-01,23.4,No Production & Break,-0.4669557097015288
2025-11-24,7,FRA-OVE-L01-01,17.17,Breakdown,-0.7172663756939262
2025-11-24,1,SF-SPI-L01-01,87.52,Part Shortage,2.1092754144449444
2025-11-24,9,SFX-PLM-PROG-01,12.35,Trial & Pilot Run,-0.9109256710524103
2025-11-24,5,FRA-PP-L01-02,27.12,Preventive Maintenance,-0.31749251909290604
2025-11-24,7,FRA-OVE-L01-01,16.9,Inventory Check,-0.728114510496165
2025-11-24,10,SFX-PLM-ASSY-01,21.13,Calibration,-0.5581603985944248
2025-11-24,9,SFX-PLM-PROG-01,42.27,Cleaning,0.2912083781438231
2025-11-24,7,FRA-OVE-L01-01,45.45,No Production & Break,0.4189752991479682
2025-11-24,3,HDR-MLD-L01-02,8.67,Breakdown,-1.0587817305792198
2025-11-24,4,FRA-PP-L01-01,35.9,Breakdown,0.03527275336507941
2025-11-24,7,FRA-OVE-L01-01,59.68,Cleaning,0.9907121815029949
2025-11-24,10,SFX-PLM-ASSY-01,58.53,Part Shortage,0.944507162900867
2025-11-24,8,FRA-AOI-L01-01,112.5,Part Shortage,3.1129287750372545
2025-11-24,7,FRA-OVE-L01-01,16.42,Trial & Pilot Run,-0.7474000834779226
2025-11-24,9,SFX-PLM-PROG-01,17.28,Preventive Maintenance,-0.71284676521894
2025-11-24,7,FRA-OVE-L01-01,42.02,Meeting,0.28116380888249093
2025-11-24,2,HDR-MLD-L01-01,26.95,Part Shortage,-0.32432282619061203
2025-11-24,5,FRA-PP-L01-02,46.52,Breakdown,0.4619660555864699
2025-11-24,6,FRA-PP-L01-03,190.57,Breakdown,6.2496468639660625
2025-11-24,6,FRA-PP-L01-03,12.55,Preventive Maintenance,-0.9028900156433446
2025-11-24,2,HDR-MLD-L01-01,41.43,Cleaning,0.25745862542574693
2025-11-24,8,FRA-AOI-L01-01,3.97,Breakdown,-1.2476196326922644
2025-11-25,3,HDR-MLD-L01-02,7.08,Part Shortage,-1.1226651910812924
2025-11-25,4,FRA-PP-L01-01,12.05,Fire Drills,-0.9229791541660088
2025-11-25,10,SFX-PLM-ASSY-01,16.43,Part Shortage,-0.7469983007074694
2025-11-25,6,FRA-PP-L01-03,15.87,Meeting,-0.7694981358528535
2025-11-25,5,FRA-PP-L01-02,41.57,Inventory Check,0.26308358421209294
2025-11-25,9,SFX-PLM-PROG-01,52.3,Part Shortage,0.6941964969084693
2025-11-25,8,FRA-AOI-L01-01,40.85,Trial & Pilot Run,0.23415522473945635
2025-11-25,6,FRA-PP-L01-03,38.63,Calibration,0.1449594496988268
2025-11-25,3,HDR-MLD-L01-02,50.58,Breakdown,0.6250898603905041
2025-11-25,6,FRA-PP-L01-03,24.6,Material Check,-0.41874177724713424
2025-11-25,6,FRA-PP-L01-03,76.8,Breakdown,1.6785642845190214
2025-11-25,2,HDR-MLD-L01-01,82.32,Setup,1.9003483738092353
2025-11-25,4,FRA-PP-L01-01,75.83,Breakdown,1.6395913557850526
2025-11-25,4,FRA-PP-L01-01,53.55,Calibration,0.7444193432151301
2025-11-25,7,FRA-OVE-L01-01,49.02,Breakdown,0.5624117481997916
2025-11-25,7,FRA-OVE-L01-01,20.15,Cleaning,-0.5975351100988469
2025-11-25,5,FRA-PP-L01-02,36.1,Trial & Pilot Run,0.043308408774145254
2025-11-25,5,FRA-PP-L01-02,8.93,Setup,-1.0483353785474343
2025-11-25,7,FRA-OVE-L01-01,6.03,Part Shortage,-1.1648523819788874
2025-11-25,3,HDR-MLD-L01-02,18.0,Material Check,-0.6839184057463035
2025-11-25,5,FRA-PP-L01-02,24.15,Part Shortage,-0.4368220019175323
2025-11-25,6,FRA-PP-L01-03,40.77,Setup,0.23094096257583013
2025-11-25,2,HDR-MLD-L01-01,42.37,Cleaning,0.29522620584835574
2025-11-25,2,HDR-MLD-L01-01,41.8,No Production & Break,0.2723245879325184
2025-11-25,10,SFX-PLM-ASSY-01,51.97,Breakdown,0.6809376654835109
2025-11-25,1,SF-SPI-L01-01,42.07,Breakdown,0.2831727227347573
2025-11-25,8,FRA-AOI-L01-01,46.93,Breakdown,0.47843914917505453
2025-11-25,5,FRA-PP-L01-02,35.75,Material Check,0.02924601180828017
2025-11-25,4,FRA-PP-L01-01,96.88,Part Shortage,2.4853440875892208
2025-11-25,6,FRA-PP-L01-03,31.63,Fire Drills,-0.13628848961847392
2025-11-25,2,HDR-MLD-L01-01,31.12,Material Check,-0.15677941091159145
2025-11-25,9,SFX-PLM-PROG-01,32.83,Preventive Maintenance,-0.08807455716407957
2025-11-26,4,FRA-PP-L01-01,5.75,No Production & Break,-1.1761022995515795
2025-11-26,7,FRA-OVE-L01-01,54.08,Part Shortage,0.7657138300491543
2025-11-26,1,SF-SPI-L01-01,12.48,No Production & Break,-0.9057024950365176
2025-11-26,5,FRA-PP-L01-02,9.95,No Production & Break,-1.0073535359611991
2025-11-26,6,FRA-PP-L01-03,146.92,Breakdown,4.495865070937466
2025-11-26,5,FRA-PP-L01-02,41.98,Part Shortage,0.27955667780067756
2025-11-26,5,FRA-PP-L01-02,39.0,Meeting,0.1598254122055983
2025-11-26,1,SF-SPI-L01-01,11.72,Cleaning,-0.9362379855909674
2025-11-26,5,FRA-PP-L01-02,30.02,Trial & Pilot Run,-0.20097551566145302
2025-11-26,4,FRA-PP-L01-01,40.38,Breakdown,0.21527143452815195
2025-11-26,9,SFX-PLM-PROG-01,26.8,No Production & Break,-0.33034956774741125
2025-11-26,8,FRA-AOI-L01-01,44.98,Breakdown,0.4000915089366635
2025-11-26,1,SF-SPI-L01-01,73.73,Part Shortage,1.5552169739898627
2025-11-26,1,SF-SPI-L01-01,63.75,Breakdown,1.1542377690774825
2025-11-26,3,HDR-MLD-L01-02,6.6,Setup,-1.14195076406305
2025-11-26,3,HDR-MLD-L01-02,44.35,Part Shortage,0.37477919439810664
2025-11-26,5,FRA-PP-L01-02,40.5,Inventory Check,0.22009282777359127
2025-11-26,10,SFX-PLM-ASSY-01,41.22,Breakdown,0.24902118724622785
2025-11-26,7,FRA-OVE-L01-01,42.83,Breakdown,0.31370821328920695
2025-11-26,1,SF-SPI-L01-01,22.75,Setup,-0.4930715897809923
2025-11-26,7,FRA-OVE-L01-01,15.47,Material Check,-0.7855694466709849
2025-11-26,9,SFX-PLM-PROG-01,21.82,Fire Drills,-0.5304373874331479
2025-11-26,7,FRA-OVE-L01-01,24.15,Setup,-0.4368220019175323
2025-11-27,9,SFX-PLM-PROG-01,40.17,Inventory Check,0.2068339963486329
2025-11-27,7,FRA-OVE-L01-01,34.1,Cleaning,-0.03704814531651205
2025-11-27,3,HDR-MLD-L01-02,37.53,Preventive Maintenance,0.10076334494896522
2025-11-27,8,FRA-AOI-L01-01,16.02,Breakdown,-0.7634713942960542
2025-11-27,6,FRA-PP-L01-03,22.05,Meeting,-0.5211963837127224
2025-11-27,4,FRA-PP-L01-01,58.18,Trial & Pilot Run,0.9304447659350019
2025-11-27,3,HDR-MLD-L01-02,13.67,Setup,-0.8578903453525765
2025-11-27,5,FRA-PP-L01-02,20.55,Setup,-0.5814637992807153
2025-11-27,2,HDR-MLD-L01-01,16.4,Part Shortage,-0.7482036490188293
2025-11-27,6,FRA-PP-L01-03,59.62,Part Shortage,0.988301484880275
2025-11-27,5,FRA-PP-L01-02,91.95,Breakdown,2.2872651817557506
2025-11-27,6,FRA-PP-L01-03,38.0,Preventive Maintenance,0.11964713516026965
2025-11-27,9,SFX-PLM-PROG-01,27.37,Setup,-0.3074479498315739
2025-11-27,9,SFX-PLM-PROG-01,20.13,Preventive Maintenance,-0.5983386756397534
2025-11-27,5,FRA-PP-L01-02,32.25,Preventive Maintenance,-0.11137795785037012
2025-11-27,4,FRA-PP-L01-01,27.07,Material Check,-0.3195014329451725
2025-11-27,2,HDR-MLD-L01-01,8.8,Breakdown,-1.053558554563327
2025-11-27,4,FRA-PP-L01-01,36.4,Breakdown,0.055361891887743736
2025-11-27,7,FRA-OVE-L01-01,20.97,Part Shortage,-0.5645889229216774
2025-11-27,4,FRA-PP-L01-01,56.95,Part Shortage,0.8810254851692477
2025-11-27,1,SF-SPI-L01-01,19.9,Breakdown,-0.6075796793601791
2025-11-27,6,FRA-PP-L01-03,37.72,Material Check,0.10839721758757757
2025-11-27,9,SFX-PLM-PROG-01,77.87,Breakdown,1.7215550409575233
2025-11-27,8,FRA-AOI-L01-01,135.93,Part Shortage,4.054305806209305
2025-11-27,10,SFX-PLM-ASSY-01,40.73,Breakdown,0.22933383149401673
2025-11-27,10,SFX-PLM-ASSY-01,28.72,Cleaning,-0.25320727582038033
2025-11-28,2,HDR-MLD-L01-01,42.07,No Production & Break,0.2831727227347573
2025-11-28,4,FRA-PP-L01-01,18.7,Preventive Maintenance,-0.6557936118145734
2025-11-28,10,SFX-PLM-ASSY-01,41.07,Fire Drills,0.24299444568942863
2025-11-28,6,FRA-PP-L01-03,29.77,Breakdown,-0.2110200849227852
2025-11-28,10,SFX-PLM-ASSY-01,65.47,Inventory Check,1.2233444055954477
2025-11-28,5,FRA-PP-L01-02,22.9,No Production & Break,-0.4870448482241931
2025-11-28,1,SF-SPI-L01-01,9.62,Setup,-1.0206123673861576
2025-11-28,2,HDR-MLD-L01-01,24.1,Fire Drills,-0.4388309157697986
2025-11-28,9,SFX-PLM-PROG-01,41.47,Breakdown,0.25906575650756003
2025-11-28,3,HDR-MLD-L01-02,40.28,Breakdown,0.21125360682361902
2025-11-28,6,FRA-PP-L01-03,70.4,Part Shortage,1.4214233114289183
2025-11-28,10,SFX-PLM-ASSY-01,48.65,Preventive Maintenance,0.5475457856930197
2025-11-28,2,HDR-MLD-L01-01,19.38,Setup,-0.6284723834237499
2025-11-28,8,FRA-AOI-L01-01,12.9,Material Check,-0.8888276186774796
2025-11-28,1,SF-SPI-L01-01,7.57,Preventive Maintenance,-1.1029778353290813
2025-11-28,7,FRA-OVE-L01-01,10.45,Part Shortage,-0.9872643974385348
2025-11-28,5,FRA-PP-L01-02,8.63,Calibration,-1.0603888616610329
2025-11-28,4,FRA-PP-L01-01,25.22,Fire Drills,-0.3938312454790306
2025-11-28,1,SF-SPI-L01-01,26.47,Part Shortage,-0.3436083991723698
2025-11-28,1,SF-SPI-L01-01,83.55,Breakdown,1.9497676545749898
2025-11-28,5,FRA-PP-L01-02,12.07,Part Shortage,-0.9221755886251023
2025-11-28,7,FRA-OVE-L01-01,28.08,Breakdown,-0.2789213731293907
2025-11-28,6,FRA-PP-L01-03,18.9,Preventive Maintenance,-0.6477579564055077
2025-11-28,3,HDR-MLD-L01-02,12.5,Cleaning,-0.904898929495611
2025-11-28,3,HDR-MLD-L01-02,33.7,Part Shortage,-0.05311945613464346
2025-11-28,5,FRA-PP-L01-02,35.48,Material Check,0.01839787700604131
2025-11-28,10,SFX-PLM-ASSY-01,51.48,Breakdown,0.6612503097312997
2025-11-28,3,HDR-MLD-L01-02,9.43,No Production & Break,-1.02824624002477
2025-12-01,6,FRA-PP-L01-03,26.97,Fire Drills,-0.32351926064970543
2025-12-01,6,FRA-PP-L01-03,56.13,Part Shortage,0.8480792979920783
2025-12-01,7,FRA-OVE-L01-01,17.02,Part Shortage,-0.7232931172507255
2025-12-01,5,FRA-PP-L01-02,27.15,No Production & Break,-0.31628717078154633
2025-12-01,10,SFX-PLM-ASSY-01,54.93,Part Shortage,0.7998653655376837
2025-12-01,10,SFX-PLM-ASSY-01,72.98,Setup,1.5250832662058662
2025-12-01,7,FRA-OVE-L01-01,40.57,Fire Drills,0.2229053071667643
2025-12-01,9,SFX-PLM-PROG-01,41.05,Preventive Maintenance,0.24219088014852191
2025-12-01,9,SFX-PLM-PROG-01,62.35,Inventory Check,1.0979881812140224
2025-12-01,2,HDR-MLD-L01-01,4.77,Breakdown,-1.2154770110560016
2025-12-01,4,FRA-PP-L01-01,26.8,Preventive Maintenance,-0.33034956774741125
2025-12-01,8,FRA-AOI-L01-01,39.08,Part Shortage,0.1630396743692245
2025-12-01,4,FRA-PP-L01-01,15.57,Part Shortage,-0.7815516189664521
2025-12-01,7,FRA-OVE-L01-01,39.27,Breakdown,0.17067354700783716
2025-12-01,10,SFX-PLM-ASSY-01,26.98,Breakdown,-0.3231174778792521
2025-12-01,6,FRA-PP-L01-03,21.45,No Production & Break,-0.5453033499399196
2025-12-01,6,FRA-PP-L01-03,23.48,Calibration,-0.4637414475379024
2025-12-01,3,HDR-MLD-L01-02,24.35,Part Shortage,-0.4287863465084664
2025-12-01,7,FRA-OVE-L01-01,40.82,Calibration,0.23294987642809645
